u,v,a
90,18.8,0.402400129
90,19,0.39136455
90,19.2,0.381423369
90,19.4,0.382310589
90,19.6,0.380874772
90,19.8,0.380633703
90,20,0.386982158
90,20.2,0.378116706
90,20.4,0.337254719
90,20.6,0.338727703
90,20.8,0.323935408
90,21,0.325328548
90,21.2,0.325791145
90,21.4,0.312515383
90,21.6,0.292516965
90,21.8,0.303871836
90,22,0.27157311
90,22.2,0.264698102
90,22.4,0.285850381
90,22.6,0.256790739
90,22.8,0.218561207
90,23,0.286331238
90,23.2,0.189592295
90,23.4,0.121389741
90,23.6,0.190129344
90,23.8,0.167154074
90,24,0.165392019
90,24.2,0.16058328
90,24.4,0.094183731
90,24.6,0.071954471
90,24.8,0.086798856
90,25,0.012003798
